# O Estado do País — municípios: Continente, CAOP 2025
# Carta Administrativa Oficial de Portugal (CAOP) 2025
# Direção-Geral do Território · CC BY 4.0 · https://creativecommons.org/licenses/by/4.0/
#
# Extraído de CAOP_Continente_2025-gpkg.zip
#   https://geo2.dgterritorio.gov.pt/caop/CAOP_Continente_2025-gpkg.zip
#   sha256 87cd67f4b1fbadf23d9324e6fb231ff05531e4db347af36ccc7c6cbabe3ecd1d
#   111647845 bytes · Last-Modified: Mon, 02 Feb 2026 14:26:40 GMT
# Camadas do GeoPackage, uma linha por município:
#   Continente_CAOP2025.gpkg:cont_municipios
# Colunas com os nomes que a fonte lhes dá. A contagem é o número de
# linhas de dados deste ficheiro.
# Produzido por ResearchHub/publisher/caop_municipios.py. NÃO EDITAR À MÃO.
dtmn,municipio,distrito_ilha,nuts3,nuts2,nuts1
1606,Ponte da Barca,Viana do Castelo,Alto Minho,Norte,Continente
1607,Ponte de Lima,Viana do Castelo,Alto Minho,Norte,Continente
1608,Valença,Viana do Castelo,Alto Minho,Norte,Continente
1609,Viana do Castelo,Viana do Castelo,Alto Minho,Norte,Continente
1610,Vila Nova de Cerveira,Viana do Castelo,Alto Minho,Norte,Continente
1701,Alijó,Vila Real,Douro,Norte,Continente
1702,Boticas,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1703,Chaves,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1704,Mesão Frio,Vila Real,Douro,Norte,Continente
1705,Mondim de Basto,Vila Real,Ave,Norte,Continente
1706,Montalegre,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1707,Murça,Vila Real,Douro,Norte,Continente
1708,Peso da Régua,Vila Real,Douro,Norte,Continente
1709,Ribeira de Pena,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1710,Sabrosa,Vila Real,Douro,Norte,Continente
1711,Santa Marta de Penaguião,Vila Real,Douro,Norte,Continente
1712,Valpaços,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1713,Vila Pouca de Aguiar,Vila Real,Alto Tâmega e Barroso,Norte,Continente
1714,Vila Real,Vila Real,Douro,Norte,Continente
1801,Armamar,Viseu,Douro,Norte,Continente
1802,Carregal do Sal,Viseu,Viseu Dão Lafões,Centro,Continente
1803,Castro Daire,Viseu,Viseu Dão Lafões,Centro,Continente
1804,Cinfães,Viseu,Tâmega e Sousa,Norte,Continente
1805,Lamego,Viseu,Douro,Norte,Continente
1806,Mangualde,Viseu,Viseu Dão Lafões,Centro,Continente
1807,Moimenta da Beira,Viseu,Douro,Norte,Continente
1808,Mortágua,Viseu,Região de Coimbra,Centro,Continente
1809,Nelas,Viseu,Viseu Dão Lafões,Centro,Continente
1810,Oliveira de Frades,Viseu,Viseu Dão Lafões,Centro,Continente
1811,Penalva do Castelo,Viseu,Viseu Dão Lafões,Centro,Continente
