nome	url	http	tipo	tamanho_bytes	lido_em_utc	sha256	url_final
53-cme-gop-orcamento-2025.pdf	https://www.cm-evora.pt/wp-content/uploads/2025/01/Opcoes-do-Plano-e-Orcamento-2025.pdf	200	application/pdf	20574695	2026-09-15T11:50:15Z	f07265b18625df34991b1805807f77617955a03da07aa814a521563ea38910a0	https://www.cm-evora.pt/wp-content/uploads/2025/01/Opcoes-do-Plano-e-Orcamento-2025.pdf
54-cme-gop-orcamento-2024.pdf	https://www.cm-evora.pt/wp-content/uploads/2024/01/OPs_ORCAMENTO2024_DocCompleto_Assinado.pdf	200	application/pdf	31222926	2026-09-15T11:50:19Z	7c554e97ed97c36625b0846e3c2a03e4e5021f39c878d70d193588200f3f6024	https://www.cm-evora.pt/wp-content/uploads/2024/01/OPs_ORCAMENTO2024_DocCompleto_Assinado.pdf
60-cme-atas.html	https://www.cm-evora.pt/municipe/camara-municipal/atas-de-reuniao/	404	text/html; charset=UTF-8	593331	2026-09-15T11:52:03Z	197324ad37298fccf1718ca642abfbfa2c00586cc4cfa97af624df9b4d9b69c3	https://www.cm-evora.pt/municipe/camara-municipal/atas-de-reuniao/
61-cme-reunioes-camara.html	https://www.cm-evora.pt/municipe/camara-municipal/reunioes-de-camara/	200	text/html; charset=UTF-8	2061411	2026-09-15T11:52:20Z	182cb25c1a96407dd47be9c69ba194826619c3e9d21f6cb6a122fad357f8e7e3	https://www.cm-evora.pt/municipe/camara-municipal/reunioes-de-camara/
62-cme-assembleia.html	https://www.cm-evora.pt/municipe/assembleia-municipal/	200	text/html; charset=UTF-8	923181	2026-09-15T11:52:22Z	2d0e5c37a1f983629080b1063bdee00b8f1c92fc6596a6d3a144baeb15ab6bc4	https://www.cm-evora.pt/municipe/assembleia-municipal/
63-cme-ata-10-rpc-2026-05-14.pdf	https://www.cm-evora.pt/wp-content/uploads/2026/09/Ata-no-10-da-RPC-de-14-de-maio-de-2026.pdf	200	application/pdf	26534598	2026-09-15T11:53:02Z	36a3dcacd269279bdd763fb50ff2d68f42420a4f3698610e4464c132da7e4233	https://www.cm-evora.pt/wp-content/uploads/2026/09/Ata-no-10-da-RPC-de-14-de-maio-de-2026.pdf
64-cme-edital-rpc-2026-09-03.pdf	https://www.cm-evora.pt/wp-content/uploads/2026/09/Edital-da-RPC-de-03-de-setembro-de-2026-1.pdf	200	application/pdf	7500569	2026-09-15T11:53:07Z	9799f676593c421b6e95e77c46e026c5faeba02ef106a80f7758dc0dfad9c7fc	https://www.cm-evora.pt/wp-content/uploads/2026/09/Edital-da-RPC-de-03-de-setembro-de-2026-1.pdf
70-base-teste.html	https://www.base.gov.pt/Base4/pt/resultados/?type=contratos&texto=%C3%89vora%202027	999	text/html; charset=windows-1252	1172	2026-09-15T11:53:31Z	1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44	https://www.base.gov.pt/Base4/pt/resultados/?type=contratos&texto=%C3%89vora%202027
71-base-pesquisa.html	https://www.base.gov.pt/Base4/pt/pesquisa/?type=contratos	999	text/html; charset=windows-1252	1172	2026-09-15T11:53:47Z	1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44	https://www.base.gov.pt/Base4/pt/pesquisa/?type=contratos
72-base-raiz.html	https://www.base.gov.pt/	999	text/html; charset=windows-1252	1172	2026-09-15T11:53:56Z	1de9e9f4a1d740052c5e13ec835ff14bf295eb32adde3fffdaec26dc84949e44	https://www.base.gov.pt/base4
33-e27-noticias.html	https://www.evora2027.com/noticias	200	text/html; charset=utf-8	141431	2026-09-15T11:55:47Z	e91e6b96f7b1ff77a3dd32b29bb4145ce1f4db437ff99632ac07d0225c5d6cc7	https://www.evora2027.com/noticias
55-cme-protocolo-2023.html	https://www.cm-evora.pt/investimento-superior-a-44-milhoes-de-euros-camara-de-evora-e-estado-portugues-assinaram-protocolo-de-cooperacao-para-implementacao-da-capital-europeia-da-cultura-em-2027/	200	text/html; charset=UTF-8	680427	2026-09-15T11:56:28Z	8d3327e6f9821eb45aae37eb10c1bfa85abb9f8e842af30372d0999120b5b14a	https://www.cm-evora.pt/investimento-superior-a-44-milhoes-de-euros-camara-de-evora-e-estado-portugues-assinaram-protocolo-de-cooperacao-para-implementacao-da-capital-europeia-da-cultura-em-2027/
17-dre-rcm-203-2023.pdf	https://data.dre.pt/eli/resolconsmin/203/2023/12/28/p/dre/pt/pdf	200	application/pdf	231548	2026-09-15T11:57:21Z	76cd523ae75cf21554444d7b081a1d5e8cb1e7c32dd70edccee52291d4978283	https://files.diariodarepublica.pt/1s/2023/12/24900/0008600086.pdf
18-gepac-regras-concurso-2027.pdf	https://www.ecoc2027.mc.gov.pt/upload/ficheiros/02_Rules%20of%20procedure%20for%20ECOC%202027%20competition_ENG.pdf	200	application/pdf	229221	2026-09-15T11:57:58Z	40f0dc113017139e3e9a334445bbc0226965786fd71d254aabc545e79084b5d2	https://www.ecoc2027.mc.gov.pt/upload/ficheiros/02_Rules%20of%20procedure%20for%20ECOC%202027%20competition_ENG.pdf
19-eurlex-decisao-445-2014.pdf	https://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32014D0445	202	text/html; charset=UTF-8	0	2026-09-15T11:58:10Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	https://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32014D0445
19b-eurlex-decisao-445-2014.html	https://eur-lex.europa.eu/legal-content/PT/TXT/HTML/?uri=CELEX:32014D0445	202	text/html; charset=UTF-8	0	2026-09-15T11:58:20Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	https://eur-lex.europa.eu/legal-content/PT/TXT/HTML/?uri=CELEX:32014D0445
19c-eurlex-eli-445-2014.pdf	https://eur-lex.europa.eu/eli/dec/2014/445/oj/por/pdf	202	text/html; charset=UTF-8	0	2026-09-15T11:58:31Z	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	https://eur-lex.europa.eu/eli/dec/2014/445/oj/por/pdf
80-alentejo2030-inicio.html	https://alentejo.portugal2030.pt/	200	text/html; charset=UTF-8	234106	2026-09-15T11:58:46Z	cb05a9c6adc6e5807df1eef6ad7fee1bd8d97a415f2ef351e5b4de5051e2c82c	https://alentejo.portugal2030.pt/
81-alentejo2030-operacoes.html	https://alentejo.portugal2030.pt/lista-de-operacoes-aprovadas/	200	text/html; charset=UTF-8	151760	2026-09-15T11:58:54Z	e2f70506bd158bc5b7ac09f495be7593806b7c8445e3d002865905cf501eb3af	https://alentejo.portugal2030.pt/lista-de-operacoes-aprovadas/
82-alentejo2030-lista-operacoes-2026-06-30.xlsx	https://alentejo.portugal2030.pt/wp-content/uploads/sites/13/2026/07/lista_operacoes_30_junho_2026.xlsx	200	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	381334	2026-09-15T11:59:03Z	1e7f97eb4dc18e6d8715b544706887b60023767248d8a89ddc81f74bed0a4503	https://alentejo.portugal2030.pt/wp-content/uploads/sites/13/2026/07/lista_operacoes_30_junho_2026.xlsx
