ficheiro|url_pedido|url_efetivo|http|bytes|content_type|lido_utc|sha256
82-cne-resultados-oficiais.html|https://www.cne.pt/content/eleicoes-referendos-resultados-oficiais|https://www.cne.pt/content/eleicoes-referendos-resultados-oficiais|200|138734|text/html; charset=utf-8|2026-09-15T11:56:21Z|3eb95f9a09fdc84707ad2969ca261beabde3118ac6876e4b6b88fa2526241a79
83-cne-retificacao-mapa-al2025.html|https://www.cne.pt/news/al-2025-retificacao-do-mapa-oficial-dos-resultados_8927|https://www.cne.pt/news/al-2025-retificacao-do-mapa-oficial-dos-resultados_8927|200|12701|text/html; charset=utf-8|2026-09-15T11:56:22Z|2846133d5a0b9f5418ce60f638ee8153045406efe120fcbb096ec07613934d0d
84-cne-mapa-oficial-2b-2025.html|https://www.cne.pt/content/mapa-oficial-no-2-b2025-da-cne|https://www.cne.pt/content/mapa-oficial-no-2-b2025-da-cne|200|12843|text/html; charset=utf-8|2026-09-15T11:56:37Z|6e6557b4ea1e855afa05105b156ba95685c08b62f77717d4f041eaee3613f035
85-cne-retificacao-mapa-2026-08-06.pdf|https://www.cne.pt/sites/default/files/dl/eleicoes/2025_al/docs_geral/2025-al-retificacao-mapa-resultados_2026_08_06.pdf|https://www.cne.pt/sites/default/files/dl/eleicoes/2025_al/docs_geral/2025-al-retificacao-mapa-resultados_2026_08_06.pdf|200|105141|application/pdf|2026-09-15T11:56:39Z|25f3062aaeecfee280600013882c58a27db05c51a7cc8a6f68df6a96e21f8699
86-cne-mapa-oficial-2b-2025-dr.pdf|https://www.cne.pt/sites/default/files/dl/eleicoes/2025_al/docs_geral/2025_al_mapa_oficial_dr.pdf|https://www.cne.pt/sites/default/files/dl/eleicoes/2025_al/docs_geral/2025_al_mapa_oficial_dr.pdf|200|149193569|application/pdf|2026-09-15T11:56:51Z|c55b607e4b7e8ef0b6e1a78e9725034fe22bbb40c2f63c77c65021c3f4aedbca
90-evoraviva-programa-autarquico.html|https://evoraviva.pt/programa-autarquico/|https://evoraviva.pt/programa-autarquico/|200|186789|text/html; charset=UTF-8|2026-09-15T11:58:22Z|1f8064d6ac166dcc0cf32bc27c79b3ad7e83acb2c98a387ab74cd18b18768689
91-evoraviva-home.html|https://evoraviva.pt/|https://evoraviva.pt/|200|182060|text/html; charset=UTF-8|2026-09-15T11:58:25Z|a37ff1e2c493498a1b56e40d2c075ae01b51a1cb831950aa81e8e933f8061665
92-cmevora-projetos-cofinanciados.html|https://www.cm-evora.pt/municipe/projetos-cofinanciados/|https://www.cm-evora.pt/municipe/projetos-cofinanciados/operacoes-contratualizadas-no-ambito-do-fundo-asilio-migracao-e-integracao-2030/|200|843369|text/html; charset=UTF-8|2026-09-15T11:58:51Z|c7871a1ea4e576333875eca146195a47abf3f363dd39433621a8b8ae76479a08
93-cmevora-prr.html|https://www.cm-evora.pt/municipe/projetos-cofinanciados/plano-de-recuperacao-e-resiliencia/|https://www.cm-evora.pt/municipe/projetos-cofinanciados/plano-de-recuperacao-e-resiliencia/|200|851209|text/html; charset=UTF-8|2026-09-15T11:58:53Z|944339880d16485b4ec110eda7bc90d8074baaf2c2d09bd40db497d697da5cf4
94-cmevora-projetos-estruturantes.html|https://www.cm-evora.pt/municipe/projetos-municipais/projetos-estruturantes/|https://www.cm-evora.pt/municipe/projetos-municipais/projetos-estruturantes/evora-laboratorio-vivo-para-a-descarbonizacao-lvpd/|200|844289|text/html; charset=UTF-8|2026-09-15T11:58:56Z|bfb8be15bb72734976f7d9ea7a7ad39a6b8bbcd6c0a982136269a5a706c17355
95-evoranet-ame.html|http://www.evora.net/ame|https://www.evora.net/ame/|200|2349|text/html|2026-09-15T11:58:57Z|874a75516b0713dac14d3f43aaf9e31980e8b7066d949d1a5787eaa389a03234
96-evoranet-ame-mandato.html|https://www.evora.net/ame/mandato/mand_inc.htm|https://www.evora.net/ame/mandato/mand_inc.htm|200|16127|text/html|2026-09-15T11:59:21Z|ac6fd912c41abd23a78804f25c36f54675025c0f53fc18a27a1f62cdafb928b6
97-dgal-limites-endividamento.html|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/dados-financeiros/limites-endividamento/|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/dados-financeiros/limites-endividamento/|404|39040|text/html; charset=utf-8|2026-09-15T11:59:21Z|b0a7a5ce9ccf6455225c423ad1c89a9363c540c8447cbbb9459e9fd91ba9cfd7
98-evoranet-ame-actas.html|https://www.evora.net/ame/actas/ainc.htm|https://www.evora.net/ame/actas/ainc.htm|200|15328|text/html|2026-09-15T11:59:33Z|083c383c108008508411d4a9464f64ff1a0d5fa0f0c95f4abd232114e1c790d4
99-dgal-endividamento-evolucao.html|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/endividamento/municipios/evolucao/|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/endividamento/municipios/evolucao/|200|50566|text/html; charset=utf-8|2026-09-15T11:59:44Z|1d3bfd7a439db0231bdb52adda1d5d68583d20bb2753375f7a198148def949c5
A0-dgal-pmp.html|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/dados-financeiros/prazo-medio-de-pagamentos/|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/dados-financeiros/prazo-medio-de-pagamentos/|404|39040|text/html; charset=utf-8|2026-09-15T12:00:15Z|b0a7a5ce9ccf6455225c423ad1c89a9363c540c8447cbbb9459e9fd91ba9cfd7
A1-dgal-pmp.html|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/endividamento/municipios/prazo-medio-de-pagamentos|https://portalautarquico.dgal.gov.pt/pt-PT/financas-locais/endividamento/municipios/prazo-medio-de-pagamentos/|200|54063|text/html; charset=utf-8|2026-09-15T12:00:34Z|a40109af5a3603d20af11e1be19651bd55492fc1697381c33873b93531085cb6
A2-dgal-pmp-60dias-2T2026|https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=b968cb93-065b-4076-96bd-ee3919432585&content_id=434D3CA1-8FF2-436C-B5A2-F8014FE11BED&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2026-07-30153018|https://portalautarquico.dgal.gov.pt/ficheiros/?schema=f7664ca7-3a1a-4b25-9f46-2056eef44c33&channel=b968cb93-065b-4076-96bd-ee3919432585&content_id=434D3CA1-8FF2-436C-B5A2-F8014FE11BED&field=storage_image&lang=pt&ver=1&filetype=pdf&dtestate=2026-07-30153018|200|559895|application/pdf|2026-09-15T12:00:54Z|c54918baab40bc30806eff452a317d50bf95e08887c71854367640768ee14dc8
A3-ame-edital-deliberacoes-2025-12-19.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Edital_Deliberacoes_2025_12_19.pdf|https://www.cm-evora.pt/wp-content/uploads/2025/12/Edital_Deliberacoes_2025_12_19.pdf|200|103943|application/pdf|2026-09-15T12:02:04Z|1c4f89e9ebc4e1a9916ded4af443686a8dfd059e6499cce635fee8ef4249ccb5
A4-ame-edital-deliberacoes-2026-01-28.pdf|https://www.cm-evora.pt/wp-content/uploads/2026/01/Edital_Deliberacoes_2026_01_28.pdf|https://www.cm-evora.pt/wp-content/uploads/2026/01/Edital_Deliberacoes_2026_01_28.pdf|200|42493|application/pdf|2026-09-15T12:02:19Z|c5bf9a8b2e58cae80fda3cd5e51c3e96352c598912efc629edd656c225287a5c
